+EI TIC MRM (** -> **) 20221016 H5 2 MRM22.d  Subtract		
Index	X	Y
1050	10.947	200.92
1051	10.95	201.86
1052	10.953	205.39
1053	10.957	212.29
1054	10.96	221.43
1055	10.963	232.14
1056	10.966	246.31
1057	10.969	269.08
1058	10.972	305.86
1059	10.975	359.47
1060	10.978	430.02
1061	10.981	514.65
1062	10.984	606.57
1063	10.987	695.36
1064	10.991	765.5
1065	10.994	795.71
1066	10.997	770.03
1067	11	685.76
1068	11.003	553.46
1069	11.006	393.32
1070	11.009	227.64
1071	11.012	79.27
1072	11.015	-35.91
1073	11.018	-111.2
1074	11.022	-145.69
1075	11.025	-146.65
1076	11.028	-124.69
1077	11.031	-93.12
1078	11.034	-61.08
1079	11.037	-33.84
1080	11.04	-13.04
1081	11.043	1.36
1082	11.046	10.35
1083	11.049	15.39
1084	11.052	18.21
1085	11.056	20.04
1086	11.059	21.46
1087	11.062	22.4
1088	11.065	22.68
1089	11.068	22.37
1090	11.071	21.66
1091	11.074	20.52
1092	11.077	18.69
1093	11.08	16.07
1094	11.083	12.86
1095	11.087	9.51
1096	11.09	6.64
1097	11.093	4.57
1098	11.096	3.01
1099	11.099	1.05
1100	11.102	-1.97
1101	11.105	-5.92
1102	11.108	-9.91
1103	11.111	-13.21
1104	11.114	-15.74
1105	11.118	-17.9
1106	11.121	-20
1107	11.124	-21.93
1108	11.127	-23.6
1109	11.13	-25.13
1110	11.133	-26.91
1111	11.136	-29.46
1112	11.139	-32.95
1113	11.142	-37.16
1114	11.145	-41.39
1115	11.148	-45.01
1116	11.152	-47.95
1117	11.155	-50.57
1118	11.158	-53.2
1119	11.161	-55.69
1120	11.164	-57.86
1121	11.167	-59.74
1122	11.17	-61.55
1123	11.173	-63.29
1124	11.176	-64.71
1125	11.179	-64.8
1126	11.183	-71.1
1127	11.188	-81.32
1128	11.193	-89.82
1129	11.198	-93.39
1130	11.203	-92.45
1131	11.208	-88.61
1132	11.213	-79.92
1133	11.218	-61.3
1134	11.223	-29.58
1135	11.228	12.29
1136	11.233	55.52
1137	11.238	90.03
1138	11.243	111.14
1139	11.248	119.53
1140	11.253	121.78
1141	11.258	125.92
1142	11.263	138.06
1143	11.268	158.66
1144	11.273	181.18
1145	11.278	195.9
1146	11.283	199.78
1147	11.288	200.11
1148	11.293	205.02
1149	11.299	210.62
1150	11.304	209.79
1151	11.309	207
1152	11.314	216.7
1153	11.319	253.13
1154	11.324	329.24
1155	11.329	446.66
1156	11.334	583.88
1157	11.339	690.94
1158	11.344	714.8
1159	11.349	623.58
1160	11.354	426.86
1161	11.359	186.87
1162	11.364	-8.52
1163	11.369	-108.19
1164	11.374	-120.01
1165	11.379	-85.02
1166	11.384	-37.88
1167	11.389	1.98
1168	11.394	31.63
1169	11.399	53.69
1170	11.404	67.43
1171	11.409	69.87
1172	11.414	59.64
1173	11.42	41.17
1174	11.425	23.85
1175	11.43	14.5
1176	11.435	13.21
1177	11.44	16.15
1178	11.445	20.98
1179	11.45	26.18
1180	11.455	30.25
1181	11.46	33.64
1182	11.465	38.22
1183	11.47	43.23
1184	11.475	44.71
1185	11.48	41.98
1186	11.485	39.23
1187	11.49	39.27
1188	11.495	41.39
1189	11.5	44.75
1190	11.505	50.17
1191	11.51	58.75
1192	11.515	72.1
1193	11.52	90.48
1194	11.525	110.14
1195	11.53	123.1
1196	11.536	123.61
1197	11.541	112.51
1198	11.546	96.1
1199	11.551	82.21
1200	11.556	74.24
1201	11.561	69.26
1202	11.566	62.94
1203	11.571	56.27
1204	11.576	50.05
1205	11.581	-226.71
1206	11.586	-216.12
1207	11.591	-189.55
1208	11.596	-137.09
1209	11.601	-55.03
1210	11.606	47.37
1211	11.611	153.31
1212	11.616	253.9
1213	11.621	351.59
1214	11.627	445.42
1215	11.632	527.3
1216	11.637	588.16
1217	11.642	625.86
1218	11.647	648.97
1219	11.652	669.73
1220	11.657	690.92
1221	11.662	706.87
1222	11.667	716.33
1223	11.672	719.67
1224	11.677	714.74
1225	11.682	709.13
1226	11.687	713.95
1227	11.692	729.8
1228	11.697	766.63
1229	11.702	864.82
1230	11.708	1082.66
1231	11.713	1453.2
1232	11.718	1946.19
