#"+EI TIC MRM (** -> **) 20230518 Sample data MRM.d "		
#Point	X(Minutes)	Y(Counts)
581	8.636	1046.40393066406
582	8.641	788.536193847656
583	8.645	556.398193359375
584	8.65	379.54736328125
585	8.654	261.028076171875
586	8.659	190.930801391602
587	8.663	152.25505065918
588	8.668	127.738609313965
589	8.672	106.689918518066
590	8.677	86.7360458374023
591	8.681	69.3769912719727
592	8.686	55.2425422668457
593	8.69	43.8816528320313
594	8.695	34.8220558166504
595	8.7	27.8538074493408
596	8.704	23.0933895111084
597	8.709	20.3795623779297
598	8.713	19.1729564666748
599	8.718	19.0642414093018
600	8.722	19.9441452026367
601	8.727	21.4492588043213
602	8.731	23.1330986022949
603	8.736	25.531213760376
604	8.74	30.2801170349121
605	8.745	39.7336463928223
606	8.749	56.2700424194336
607	8.754	80.2287826538086
608	8.758	108.572608947754
609	8.763	135.052841186523
610	8.767	151.141296386719
611	8.772	150.06201171875
612	8.777	131.54362487793
613	8.781	102.034027099609
614	8.786	71.3163757324219
615	8.79	47.011157989502
616	8.795	31.1897888183594
617	8.799	22.3321857452393
618	8.804	18.6232204437256
619	8.808	18.3612308502197
620	8.813	19.703052520752
621	8.817	21.3264598846436
622	8.822	22.6401958465576
623	8.826	23.2511959075928
624	8.831	22.8970375061035
625	8.835	21.8428192138672
626	8.84	20.5787811279297
627	8.844	19.384786605835
628	8.849	19.1587581634521
629	8.853	21.1479606628418
630	8.858	24.6266860961914
631	8.863	27.4385681152344
632	8.867	28.2897930145264
633	8.872	27.2945823669434
634	8.876	25.4408206939697
635	8.881	23.4763679504395
636	8.885	21.2430515289307
637	8.89	19.0012245178223
638	8.894	17.7958393096924
639	8.899	17.7882976531982
640	8.903	17.9289474487305
641	8.908	17.4238910675049
642	8.912	16.440673828125
643	8.917	15.6943912506104
644	8.921	15.7645816802979
645	8.926	16.3323497772217
646	8.93	16.6631526947021
647	8.935	16.7780361175537
648	8.94	17.2733554840088
649	8.944	18.2209587097168
650	8.949	19.1563816070557
651	8.953	20.3028964996338
652	8.958	22.5412273406982
653	8.962	26.1318759918213
654	8.967	30.0614433288574
655	8.971	32.3246231079102
656	8.976	31.8504276275635
657	8.98	29.3591651916504
658	8.985	25.5420532226563
659	8.989	21.0101470947266
660	8.994	17.3408126831055
661	8.998	15.5849266052246
662	9.003	15.02854347229
663	9.007	14.3251857757568
664	9.012	13.1899471282959
665	9.016	12.2629308700562
666	9.021	11.9713640213013
667	9.026	12.2231140136719
668	9.03	12.5437450408936
669	9.035	12.4318590164185
670	9.039	12.1879272460938
671	9.044	12.3948793411255
672	9.048	12.9375886917114
673	9.053	59.8984642028809
674	9.057	67.6903076171875
675	9.062	86.6618041992188
676	9.066	122.803070068359
677	9.071	176.923812866211
678	9.075	239.485946655273
679	9.08	291.493804931641
680	9.084	313.372406005859
681	9.089	296.306427001953
682	9.094	248.349044799805
683	9.098	190.15283203125
684	9.103	143.172714233398
685	9.107	121.010795593262
686	9.112	133.263458251953
687	9.116	193.112335205078
688	9.121	311.30224609375
689	9.125	483.633270263672
690	9.13	686.5205078125
691	9.134	875.54443359375
692	9.139	992.733947753906
693	9.143	996.612548828125
694	9.148	890.173095703125
695	9.152	716.059020996094
696	9.157	529.077758789063
697	9.161	369.173889160156
698	9.166	251.434326171875
699	9.17	174.034683227539
700	9.175	129.243591308594
701	9.18	106.795928955078
702	9.184	95.1485977172852
703	9.189	86.047119140625
704	9.193	77.0007476806641
705	9.198	67.6139755249023
706	9.202	58.2886505126953
707	9.207	50.4294586181641
708	9.211	44.6314239501953
709	9.216	40.7976150512695
710	9.22	39.4272994995117
711	9.225	39.9358673095703
712	9.229	40.0478401184082
713	9.234	38.9290390014648
714	9.238	37.7118949890137
715	9.243	36.894229888916
716	9.247	36.1179351806641
717	9.252	35.6476173400879
718	9.257	36.7035980224609
719	9.261	41.5294036865234
720	9.266	52.1867980957031
721	9.27	68.5688171386719
722	9.275	89.2952728271484
723	9.279	114.315574645996
724	9.284	143.967391967773
725	9.288	175.568405151367
726	9.293	203.118545532227
727	9.297	222.706298828125
728	9.302	14.1099720001221
729	9.311	14.055419921875
730	9.32	12.4317588806152
731	9.329	12.7875518798828
732	9.339	14.9090414047241
733	9.348	17.4423408508301
734	9.357	27.8636646270752
735	9.366	102.149078369141
736	9.375	412.965393066406
737	9.385	986.309814453125
738	9.394	1278.32543945313
739	9.403	952.942810058594
740	9.412	490.43505859375
741	9.421	262.220397949219
742	9.431	179.483200073242
743	9.44	120.607620239258
744	9.449	66.8792419433594
745	9.458	38.3565902709961
746	9.467	24.9882736206055
747	9.477	19.8403453826904
748	9.486	18.4606609344482
749	9.495	17.71848487854
750	9.504	17.331729888916
751	9.513	17.0672225952148
752	9.523	14.7988243103027
753	9.532	14.7604913711548
754	9.541	16.7959442138672
755	9.55	16.2616081237793
756	9.559	15.0578880310059
757	9.569	12.7679491043091
758	9.578	9.75638484954834
759	9.587	9.36254596710205
760	9.596	10.4380054473877
761	9.605	10.2012748718262
762	9.615	10.6964511871338
763	9.624	11.13698387146
764	9.633	11.018515586853
765	9.642	10.2815818786621
766	9.651	10.6740131378174
767	9.661	11.3585119247437
768	9.67	9.13942718505859
769	9.679	9.70727348327637
770	9.688	10.3193302154541
771	9.697	9.21537017822266
772	9.707	21.5810317993164
773	9.711	21.361743927002
774	9.716	20.6617641448975
775	9.72	19.0502090454102
776	9.725	17.1288871765137
777	9.729	16.0487022399902
778	9.734	16.0877246856689
779	9.738	16.79612159729
780	9.743	17.8432273864746
781	9.747	19.0553760528564
782	9.752	20.0505599975586
783	9.756	19.9590435028076
784	9.761	18.4481678009033
785	9.765	16.6192512512207
786	9.77	15.8461437225342
787	9.775	16.3640327453613
788	9.779	17.5268535614014
789	9.784	18.572322845459
790	9.788	19.3664112091064
791	9.793	20.8595924377441
792	9.797	25.5570831298828
793	9.802	37.5609397888184
794	9.806	60.7573776245117
795	9.811	97.7337188720703
796	9.815	148.289001464844
797	9.82	203.847229003906
798	9.824	247.488052368164
799	9.829	265.0185546875
800	9.833	252.430923461914
801	9.838	215.396057128906
802	9.842	166.734725952148
803	9.847	120.697631835938
804	9.852	85.5830612182617
805	9.856	62.6389083862305
806	9.861	48.9748840332031
807	9.865	40.8799591064453
808	9.87	35.8314323425293
809	9.874	91.5607833862305
810	9.879	92.1605987548828
811	9.883	92.5333786010742
812	9.888	93.2338333129883
813	9.892	94.5216217041016
814	9.897	95.578857421875
815	9.901	96.5989990234375
816	9.906	97.9874801635742
817	9.91	98.6736831665039
818	9.915	98.3420486450195
819	9.92	98.3345642089844
820	9.924	99.4160079956055
821	9.929	101.251930236816
